OS,key_resp_exp_post.duration,slide_counter,q1_slider.response,instructions.stopped,consent_count,q3_slider.response,instructions_loop.thisRepN,instructions_loop.thisIndex,instructions_loop.thisN,practice_slider_2.rt,ready_to_go.stopped,trials.thisIndex,intro.stopped,post_beliefs.stopped,key_resp_4.duration,key_resp_4.rt,plots_with_labels_A,q3_slider_DC_3.response,expName,practice_key_resp.rt,begin_experiment.started,q4_slider_DC_3.response,final.stopped,date,warning.started,slider_belief.rt,key_resp_exp.rt,demographics.started,consent_loop.ran,slider_belief_post.rt,DC_page_2.stopped,q2_slider.response,DC_page_3.stopped,post_beliefs.started,consent_key.keys,consent_key.duration,practice_slider_2.response,colour,frameRate,__session,__experimentName,consent_key.rt,q3_slider_DC.response,images_atypical,study_id,instructions_text,ready_to_go.started,consent_loop.thisRepN,instructions_loop.thisTrialN,pre_beliefs.stopped,consent_item,key_resp_exp_post.rt,literacy.stopped,instructions_loop.ran,key_resp_exp_post.keys,q1_slider_DC_3.response,psychopyVersion,literacy.started,key_resp_6.keys,slider.rt,age_textbox.text,q4_slider_DC_2.response,trials.thisRepN,trials.thisN,q1_slider_DC.response,q2_slider_DC_3.response,begin_experiment.stopped,instructions,DC_page_1.stopped,key_resp_exp.duration,gender_slider.response,q1_slider_DC_2.response,debrief.stopped,key_resp_exp.keys,DC_page_1.started,consent_loop.thisIndex,practice_key_resp.keys,pre_beliefs.started,slider_emotion.rt,q4_slider.response,demographics.stopped,debrief.started,key_resp_6.rt,practice_key_resp.duration,consent.stopped,slider.response,slider_belief_post.response,q4_slider_DC.response,trials.ran,__participant,consent_loop.thisN,DC_page_2.started,intro.started,consent.started,q5_slider.response,instructions.started,q2_slider_DC_2.response,practice.started,final.started,trial_w_slider.stopped,slider_belief.response,key_resp_4.keys,DC_page_3.started,unique_item_no_A,consent_loop.thisTrialN,q3_slider_DC_2.response,__datetime,practice.stopped,trials.thisTrialN,warning.stopped,trial_w_slider.started,slider_emotion.response,session,q2_slider_DC.response,total_correct,passed,participant
﻿Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8470000000000018,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,NA,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARTICIPANT,NA,NA,2.0000001788034e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,1 of 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,y,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,4.5039000000059595,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,0,NA,NA,"1 of 6
I confirm that I have read the information sheet (Version 6, 01/07/2024) for this study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19.407700000017883,NA,NA,NA,NA,PARTICIPANT,0,NA,NA,13.87609999999404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,2 of 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,y,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,6.031099999994041,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,0,NA,NA,"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason, and without detriment to myself, by pressing the ‘Escape’ key to quit the experiment, but I will not receive payment for this study. I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set. 
I agree to take part on this basis. 
",NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,26.463,NA,NA,NA,NA,PARTICIPANT,1,NA,NA,19.40830000001192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,3 of 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,y,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,1.3688000000119231,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,0,NA,NA,"3 of 6
I agree that any data collected may be published in anonymous form in academic books, reports, conference presentations or journals. 
I agree to take part on this basis. 
",NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,28.848200000017883,NA,NA,NA,NA,PARTICIPANT,2,NA,NA,26.46359999999404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,4 of 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,y,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,0.8780000000000001,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,0,NA,NA,"4 of 6
I understand that a fully anonymised dataset will be deposited in an open data repository at the end of the project.
I agree to take part on this basis.
",NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,30.749,NA,NA,NA,NA,PARTICIPANT,3,NA,NA,28.848599999994043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,5 of 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,y,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,1.718400000005957,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,0,NA,NA,"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.
",NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,33.48509999999404,NA,NA,NA,NA,PARTICIPANT,4,NA,NA,30.74920000001788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,6 of 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,y,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,0.5773999999761585,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,0,NA,NA,"6 of 6
I agree to take part in this study.
",NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,35.086,NA,NA,NA,NA,PARTICIPANT,5,NA,NA,33.485599999994044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,35.08640000000596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,NA,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARTICIPANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-04_11h39.10.991,NA,NA,39.273,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,39.27330000001192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,NA,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.1.1,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.961,NA,NA,NA,NA,NA,NA,NA,NA,PARTICIPANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
﻿Win32,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,atypical_scatterplots_main_test_A,NA,NA,NA,NA,2024-07-04_11h39.18.484,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,59.88023952095548,001,atypical_scatterplots_main_A,NA,NA,NA,6683f393fa1e6cb74a287eea,NA,NA,NA,NA,NA,NA,NA,64.642,NA,NA,NA,2024.1.1,44.96130000001192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARTICIPANT,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-04_11h39.10.991,NA,NA,NA,NA,NA,66867bc75d59f2de9be15418,NA,2,TRUE,23
